time,open,high,low,close,volume,
1.63E+12,48930,48934.34,48913.64,48917.46,11.27357,
1.63E+12,48917.46,48926.04,48910,48920.14,12.30673,
1.63E+12,48920.14,48931.14,48894.11,48906.4,12.39043,
1.63E+12,48906.4,48939.81,48906.39,48935.05,8.11773,
1.63E+12,48935.06,48935.06,48910.21,48926.07,15.70291,
1.63E+12,48926.07,48940.55,48907,48938.01,7.28918,
1.63E+12,48938.01,48938.01,48932.1,48933.89,3.26881,
1.63E+12,48935.04,48935.05,48900.3,48911.4,3.74881,
1.63E+12,48911.39,48939.81,48907,48936.73,8.98997,
1.63E+12,48936.73,48936.74,48900,48907.46,6.78621,
1.63E+12,48907.46,48922.44,48900.01,48912.99,6.98938,
1.63E+12,48913,48913,48888.55,48888.56,8.83448,
1.63E+12,48888.56,48888.56,48867.45,48867.46,12.5859,
1.63E+12,48867.45,48869.87,48808.08,48812.39,99.83101,
1.63E+12,48812.39,48814.15,48773.47,48783.34,51.83629,
1.63E+12,48783.35,48815.33,48676.5,48693.53,58.57802,
1.63E+12,48693.52,48766.36,48687.18,48766.35,51.09303,
1.63E+12,48766.35,48780,48714.73,48726.66,38.36547,
1.63E+12,48726.65,48785.71,48721.51,48784.61,23.82198,
1.63E+12,48784.6,48790,48699.85,48729.58,119.34726,
1.63E+12,48729.59,48737.53,48674.36,48674.36,21.45217,
1.63E+12,48674.37,48720.99,48626.49,48665.1,65.205191,
1.63E+12,48665.11,48689.69,48631.78,48647.6,31.63055,
1.63E+12,48647.61,48707.06,48641.25,48670.03,33.58601,
1.63E+12,48670.03,48699.99,48670.02,48694.29,18.70438,
1.63E+12,48694.3,48732.09,48689.82,48729.1,16.0242,
1.63E+12,48729.09,48747.85,48710.66,48743.19,18.4556,
1.63E+12,48745.66,48750,48716.3,48735.61,18.89891,
1.63E+12,48735.62,48770,48726.73,48769.99,12.71442,
1.63E+12,48769.99,48783.18,48760.42,48783.17,20.06615,
1.63E+12,48783.18,48821.55,48775.52,48815.9,30.14433,
1.63E+12,48817.42,48820.01,48789.37,48819.97,24.27449,
1.63E+12,48819.97,48819.98,48800.02,48816.02,12.55315,
1.63E+12,48816.02,48833.44,48810.96,48830.49,15.84589,
1.63E+12,48830.49,48878.29,48819.99,48871.01,27.18636,
1.63E+12,48871.02,48894.68,48857.56,48892.08,17.07375,
1.63E+12,48892.08,48949.42,48888.66,48945.6,33.18189,
1.63E+12,48945.61,48959.18,48905.25,48953.85,41.3765,
1.63E+12,48953.84,48964.02,48922.69,48959.14,19.63537,
1.63E+12,48959.15,48977.08,48943.84,48977.08,20.70027,
1.63E+12,48977.08,48992.91,48965.74,48971.47,28.22074,
1.63E+12,48971.48,49049.99,48957.2,49045.06,75.5755,
1.63E+12,49045.06,49079.84,49035.36,49074.74,30.84698,
1.63E+12,49074.74,49075,49033.71,49069.52,23.53333,
